Project,Strain,Treatment,Group,Run,SRAName,TrimmedPath_R1,FilteredPath_R1,TrimmedPath_R2,FilteredPath_R2
Crash,Wild,Starve,B,Crash4,SRR15066673,Trimmed/HPLOH_Crash_Wild_Starve_B_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Starve_B_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Crash_Wild_Starve_B_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Starve_B_Crash4_R2_filtered.fastq.gz
NoCrash,"NA",Larvac,,NoCrash,SRR15066681,Trimmed/HPLOH_NoCrash_NA_Larvac__NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_NA_Larvac__NoCrash_R1_filtered.fastq.gz,Trimmed/HPLOH_NoCrash_NA_Larvac__NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_NA_Larvac__NoCrash_R2_filtered.fastq.gz
Crash,Wild,Pre,A,Crash4,SRR15066682,Trimmed/HPLOH_Crash_Wild_Pre_A_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Pre_A_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Crash_Wild_Pre_A_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Pre_A_Crash4_R2_filtered.fastq.gz
NoCrash,Aqua,Starve,C,NoCrash,SRR15066683,Trimmed/HPLOH_NoCrash_Aqua_Starve_C_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Starve_C_NoCrash_R1_filtered.fastq.gz,Trimmed/HPLOH_NoCrash_Aqua_Starve_C_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Starve_C_NoCrash_R2_filtered.fastq.gz
NoCrash,Aqua,Starve,A,NoCrash,SRR15066685,Trimmed/HPLOH_NoCrash_Aqua_Starve_A_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Starve_A_NoCrash_R1_filtered.fastq.gz,Trimmed/HPLOH_NoCrash_Aqua_Starve_A_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Starve_A_NoCrash_R2_filtered.fastq.gz
NoCrash,Aqua,Fed,A,NoCrash,SRR15066688,Trimmed/HPLOH_NoCrash_Aqua_Fed_A_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Fed_A_NoCrash_R1_filtered.fastq.gz,Trimmed/HPLOH_NoCrash_Aqua_Fed_A_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Fed_A_NoCrash_R2_filtered.fastq.gz
NoCrash,Wild,Starve,A,NoCrash,SRR15066691,Trimmed/HPLOH_NoCrash_Wild_Starve_A_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Starve_A_NoCrash_R1_filtered.fastq.gz,Trimmed/HPLOH_NoCrash_Wild_Starve_A_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Starve_A_NoCrash_R2_filtered.fastq.gz
NoCrash,Wild,Fed,C,NoCrash,SRR15066693,Trimmed/HPLOH_NoCrash_Wild_Fed_C_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Fed_C_NoCrash_R1_filtered.fastq.gz,Trimmed/HPLOH_NoCrash_Wild_Fed_C_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Fed_C_NoCrash_R2_filtered.fastq.gz
NoCrash,Wild,Fed,B,NoCrash,SRR15066694,Trimmed/HPLOH_NoCrash_Wild_Fed_B_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Fed_B_NoCrash_R1_filtered.fastq.gz,Trimmed/HPLOH_NoCrash_Wild_Fed_B_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Fed_B_NoCrash_R2_filtered.fastq.gz
Crash,NEH,Starve,B,Crash4,SRR15066697,Trimmed/HPLOH_Crash_NEH_Starve_B_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Starve_B_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Crash_NEH_Starve_B_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Starve_B_Crash4_R2_filtered.fastq.gz
