JacobName,Project,Strain,Treatment,Group,Run,SRAName,ReadDir,JacobName2,SRAName2,JacobFile,SRAFile,TrimmedPath,FilteredPath,DerepPath
HPLOH_Crash_Wild_Starve_B_Crash4,Crash,Wild,Starve,B,Crash4,SRR15066673,1,HPLOH_Crash_Wild_Starve_B_Crash4_R1,SRR15066673_1,HPLOH_Crash_Wild_Starve_B_Crash4_R1.fastq.gz,SRR15066673_1.fastq.gz,Trimmed/HPLOH_Crash_Wild_Starve_B_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Starve_B_Crash4_R1_filtered.fastq.gz,Derep/HPLOH_Crash_Wild_Starve_B_Crash4_R1_derep.fastq.gz
HPLOH_Crash_Wild_Starve_B_Crash4,Crash,Wild,Starve,B,Crash4,SRR15066673,2,HPLOH_Crash_Wild_Starve_B_Crash4_R2,SRR15066673_2,HPLOH_Crash_Wild_Starve_B_Crash4_R2.fastq.gz,SRR15066673_2.fastq.gz,Trimmed/HPLOH_Crash_Wild_Starve_B_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Starve_B_Crash4_R2_filtered.fastq.gz,Derep/HPLOH_Crash_Wild_Starve_B_Crash4_R2_derep.fastq.gz
HPLOH_NoCrash_NA_Larvac__NoCrash,NoCrash,"NA",Larvac,,NoCrash,SRR15066681,1,HPLOH_NoCrash_NA_Larvac__NoCrash_R1,SRR15066681_1,HPLOH_NoCrash_NA_Larvac__NoCrash_R1.fastq.gz,SRR15066681_1.fastq.gz,Trimmed/HPLOH_NoCrash_NA_Larvac__NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_NA_Larvac__NoCrash_R1_filtered.fastq.gz,Derep/HPLOH_NoCrash_NA_Larvac__NoCrash_R1_derep.fastq.gz
HPLOH_NoCrash_NA_Larvac__NoCrash,NoCrash,"NA",Larvac,,NoCrash,SRR15066681,2,HPLOH_NoCrash_NA_Larvac__NoCrash_R2,SRR15066681_2,HPLOH_NoCrash_NA_Larvac__NoCrash_R2.fastq.gz,SRR15066681_2.fastq.gz,Trimmed/HPLOH_NoCrash_NA_Larvac__NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_NA_Larvac__NoCrash_R2_filtered.fastq.gz,Derep/HPLOH_NoCrash_NA_Larvac__NoCrash_R2_derep.fastq.gz
HPLOH_Crash_Wild_Pre_A_Crash4,Crash,Wild,Pre,A,Crash4,SRR15066682,1,HPLOH_Crash_Wild_Pre_A_Crash4_R1,SRR15066682_1,HPLOH_Crash_Wild_Pre_A_Crash4_R1.fastq.gz,SRR15066682_1.fastq.gz,Trimmed/HPLOH_Crash_Wild_Pre_A_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Pre_A_Crash4_R1_filtered.fastq.gz,Derep/HPLOH_Crash_Wild_Pre_A_Crash4_R1_derep.fastq.gz
HPLOH_Crash_Wild_Pre_A_Crash4,Crash,Wild,Pre,A,Crash4,SRR15066682,2,HPLOH_Crash_Wild_Pre_A_Crash4_R2,SRR15066682_2,HPLOH_Crash_Wild_Pre_A_Crash4_R2.fastq.gz,SRR15066682_2.fastq.gz,Trimmed/HPLOH_Crash_Wild_Pre_A_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Pre_A_Crash4_R2_filtered.fastq.gz,Derep/HPLOH_Crash_Wild_Pre_A_Crash4_R2_derep.fastq.gz
HPLOH_NoCrash_Aqua_Starve_C_NoCrash,NoCrash,Aqua,Starve,C,NoCrash,SRR15066683,1,HPLOH_NoCrash_Aqua_Starve_C_NoCrash_R1,SRR15066683_1,HPLOH_NoCrash_Aqua_Starve_C_NoCrash_R1.fastq.gz,SRR15066683_1.fastq.gz,Trimmed/HPLOH_NoCrash_Aqua_Starve_C_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Starve_C_NoCrash_R1_filtered.fastq.gz,Derep/HPLOH_NoCrash_Aqua_Starve_C_NoCrash_R1_derep.fastq.gz
HPLOH_NoCrash_Aqua_Starve_C_NoCrash,NoCrash,Aqua,Starve,C,NoCrash,SRR15066683,2,HPLOH_NoCrash_Aqua_Starve_C_NoCrash_R2,SRR15066683_2,HPLOH_NoCrash_Aqua_Starve_C_NoCrash_R2.fastq.gz,SRR15066683_2.fastq.gz,Trimmed/HPLOH_NoCrash_Aqua_Starve_C_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Starve_C_NoCrash_R2_filtered.fastq.gz,Derep/HPLOH_NoCrash_Aqua_Starve_C_NoCrash_R2_derep.fastq.gz
HPLOH_NoCrash_Aqua_Starve_A_NoCrash,NoCrash,Aqua,Starve,A,NoCrash,SRR15066685,1,HPLOH_NoCrash_Aqua_Starve_A_NoCrash_R1,SRR15066685_1,HPLOH_NoCrash_Aqua_Starve_A_NoCrash_R1.fastq.gz,SRR15066685_1.fastq.gz,Trimmed/HPLOH_NoCrash_Aqua_Starve_A_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Starve_A_NoCrash_R1_filtered.fastq.gz,Derep/HPLOH_NoCrash_Aqua_Starve_A_NoCrash_R1_derep.fastq.gz
HPLOH_NoCrash_Aqua_Starve_A_NoCrash,NoCrash,Aqua,Starve,A,NoCrash,SRR15066685,2,HPLOH_NoCrash_Aqua_Starve_A_NoCrash_R2,SRR15066685_2,HPLOH_NoCrash_Aqua_Starve_A_NoCrash_R2.fastq.gz,SRR15066685_2.fastq.gz,Trimmed/HPLOH_NoCrash_Aqua_Starve_A_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Starve_A_NoCrash_R2_filtered.fastq.gz,Derep/HPLOH_NoCrash_Aqua_Starve_A_NoCrash_R2_derep.fastq.gz
HPLOH_NoCrash_Aqua_Fed_A_NoCrash,NoCrash,Aqua,Fed,A,NoCrash,SRR15066688,1,HPLOH_NoCrash_Aqua_Fed_A_NoCrash_R1,SRR15066688_1,HPLOH_NoCrash_Aqua_Fed_A_NoCrash_R1.fastq.gz,SRR15066688_1.fastq.gz,Trimmed/HPLOH_NoCrash_Aqua_Fed_A_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Fed_A_NoCrash_R1_filtered.fastq.gz,Derep/HPLOH_NoCrash_Aqua_Fed_A_NoCrash_R1_derep.fastq.gz
HPLOH_NoCrash_Aqua_Fed_A_NoCrash,NoCrash,Aqua,Fed,A,NoCrash,SRR15066688,2,HPLOH_NoCrash_Aqua_Fed_A_NoCrash_R2,SRR15066688_2,HPLOH_NoCrash_Aqua_Fed_A_NoCrash_R2.fastq.gz,SRR15066688_2.fastq.gz,Trimmed/HPLOH_NoCrash_Aqua_Fed_A_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Fed_A_NoCrash_R2_filtered.fastq.gz,Derep/HPLOH_NoCrash_Aqua_Fed_A_NoCrash_R2_derep.fastq.gz
